2023-08-24 13:03:06 [scrapy.utils.log] INFO: Scrapy 2.9.0 started (bot: scrapybot)
2023-08-24 13:03:06 [scrapy.utils.log] INFO: Versions: lxml 4.9.2.0, libxml2 2.9.4, cssselect 1.2.0, parsel 1.7.0, w3lib 2.1.1, Twisted 22.10.0, Python 3.11.4 (v3.11.4:d2340ef257, Jun  6 2023, 19:15:51) [Clang 13.0.0 (clang-1300.0.29.30)], pyOpenSSL 23.0.0 (OpenSSL 3.0.8 7 Feb 2023), cryptography 39.0.1, Platform macOS-11.4-x86_64-i386-64bit
2023-08-24 13:03:06 [numexpr.utils] INFO: Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2023-08-24 13:03:06 [numexpr.utils] INFO: NumExpr defaulting to 8 threads.
2023-08-24 13:03:06 [scrapy.crawler] INFO: Overridden settings:
{'DEPTH_LIMIT': '1',
 'LOG_FILE': 'movies_genres.log',
 'ROBOTSTXT_OBEY': True,
 'SPIDER_LOADER_WARN_ONLY': True,
 'USER_AGENT': 'advertools/0.13.5'}
2023-08-24 13:03:06 [py.warnings] WARNING: /Users/me/venv311/lib/python3.11/site-packages/scrapy/utils/request.py:232: ScrapyDeprecationWarning: '2.6' is a deprecated value for the 'REQUEST_FINGERPRINTER_IMPLEMENTATION' setting.

It is also the default value. In other words, it is normal to get this warning if you have not defined a value for the 'REQUEST_FINGERPRINTER_IMPLEMENTATION' setting. This is so for backward compatibility reasons, but it will change in a future version of Scrapy.

See the documentation of the 'REQUEST_FINGERPRINTER_IMPLEMENTATION' setting for information on how to handle this deprecation.
  return cls(crawler)

2023-08-24 13:03:06 [scrapy.utils.log] DEBUG: Using reactor: twisted.internet.selectreactor.SelectReactor
2023-08-24 13:03:06 [scrapy.extensions.telnet] INFO: Telnet Password: 3b001344edcf4898
2023-08-24 13:03:06 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.feedexport.FeedExporter',
 'scrapy.extensions.logstats.LogStats']
2023-08-24 13:03:07 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.robotstxt.RobotsTxtMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2023-08-24 13:03:07 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2023-08-24 13:03:07 [scrapy.middleware] INFO: Enabled item pipelines:
[]
2023-08-24 13:03:07 [scrapy.core.engine] INFO: Spider opened
2023-08-24 13:03:07 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2023-08-24 13:03:07 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6024
2023-08-24 13:03:08 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.boxofficemojo.com/robots.txt> (referer: None)
2023-08-24 13:03:09 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.boxofficemojo.com/chart/top_lifetime_gross/> (referer: None)
2023-08-24 13:03:09 [scrapy.core.scraper] DEBUG: Scraped from <200 https://www.boxofficemojo.com/chart/top_lifetime_gross/>
2023-08-24 13:03:10 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.boxofficemojo.com/title/tt0167260/?ref_=bo_cso_table_53> (referer: https://www.boxofficemojo.com/chart/top_lifetime_gross/)
2023-08-24 13:03:10 [scrapy.core.scraper] DEBUG: Scraped from <200 https://www.boxofficemojo.com/title/tt0167260/?ref_=bo_cso_table_53>
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/cast?ref_=mojo_tt_cta_cast&rf=mojo_tt_cta_cast 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/filmmakers?ref_=mojo_tt_cta_crew&rf=mojo_tt_cta_crew 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/companycredits?ref_=mojo_tt_cta_co&rf=mojo_tt_cta_co 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/news?ref_=mojo_tt_cta_news&rf=mojo_tt_cta_news 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/boxoffice?ref_=mojo_tt_cta_bo&rf=mojo_tt_cta_bo 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://www.boxofficemojo.com/title/tt0167260/?ref_=bo_tt_ti 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/cast?ref_=mojo_tt_cta_cast&rf=mojo_tt_cta_cast 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/filmmakers?ref_=mojo_tt_cta_crew&rf=mojo_tt_cta_crew 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/companycredits?ref_=mojo_tt_cta_co&rf=mojo_tt_cta_co 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/news?ref_=mojo_tt_cta_news&rf=mojo_tt_cta_news 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260/boxoffice?ref_=mojo_tt_cta_bo&rf=mojo_tt_cta_bo 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://pro.imdb.com/title/tt0167260?ref_=mojo_tt_summary&rf=mojo_tt_summary 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://www.boxofficemojo.com/title/tt0167260/?ref_=bo_tt_tab#tabs 
2023-08-24 13:03:10 [scrapy.spidermiddlewares.depth] DEBUG: Ignoring link (depth > 1): https://www.boxofficemojo.com/title/tt0167260/credits/?ref_=bo_tt_tab#tabs 
